texto;rotulo
"Assunto: Solicitação Urgente de Extrato Consolidado;Corpo: Prezados, bom dia. Necessito com urgência do extrato consolidado de todos os meus investimentos referente ao último trimestre para fins de declaração. Por favor, enviar para este e-mail.";Produtivo
"Assunto: Dúvida sobre Taxa de Corretagem;Corpo: Boa tarde, identifiquei uma taxa de corretagem no valor de R$ 150,00 na minha nota de hoje que não compreendi. Poderiam detalhar a que se refere esta operação?";Produtivo
"Assunto: Agendamento com Assessor de Investimentos;Corpo: Olá, gostaria de marcar uma reunião com meu assessor, o Sr. Carlos, para a próxima semana para reavaliar minha carteira de ações.";Produtivo
"Assunto: Problema de Acesso ao Portal do Cliente;Corpo: Não estou conseguindo acessar o portal de investimentos desde ontem. A página de login apresenta um erro 503. Preciso de ajuda.";Produtivo
"Assunto: Aplicação em Fundo de Renda Fixa;Corpo: Favor aplicar R$ 25.000,00 do saldo da minha conta corrente no fundo 'Tesouro Direto Simples FIC FI RF'.";Produtivo
"Assunto: Análise de Mercado - Setor de Varejo;Corpo: Gostaria de solicitar ao time de análise um relatório atualizado sobre as perspectivas para o setor de varejo brasileiro nos próximos 6 meses.";Produtivo
"Assunto: Atualização Cadastral;Corpo: Olá, mudei de endereço residencial e preciso atualizar meu cadastro. Qual o procedimento?";Produtivo
"Assunto: Resgate de Previdência Privada;Corpo: Necessito de informações sobre as condições e o prazo para um resgate parcial do meu plano de previdência VGBL.";Produtivo
"Assunto: Interesse em Abertura de Conta Offshore;Corpo: Fui recomendado por um amigo e gostaria de saber mais sobre as opções e os custos para abrir uma conta de investimentos no exterior.";Produtivo
"Assunto: Cópia de Contrato de Câmbio;Corpo: Para fins de contabilidade, preciso da segunda via do contrato de câmbio da operação realizada na semana passada.";Produtivo
"Assunto: Dúvida sobre Tributação de Ações;Corpo: Como funciona a tributação sobre o lucro na venda de ações? Preciso de orientação para não cometer erros.";Produtivo
"Assunto: Ordem de Compra - PETR4;Corpo: Por favor, executar ordem de compra de 1000 ações de PETR4 a preço de mercado.";Produtivo
